Pop,1,2,7,8,9,10,11,13,14,15,22
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.002997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0.00483,0.003701,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.006671,0.001152,0.0004354,NA,NA,NA,NA,NA,NA,NA,NA
9,0.01289,0.002102,0.003541,-0.002268,NA,NA,NA,NA,NA,NA,NA
10,-0.00355,0.001946,0.007268,0.0009338,-0.00123,NA,NA,NA,NA,NA,NA
11,0.001077,-0.002407,-0.0006145,-0.00762,0.001878,-0.006136,NA,NA,NA,NA,NA
13,-0.0137,-0.01641,-0.02827,-0.02382,-0.01633,-0.02545,-0.03063,NA,NA,NA,NA
14,-0.001131,0.002911,-0.01496,0.01226,-0.02826,-0.01317,-0.02875,-0.07142,NA,NA,NA
15,-0.07225,-0.02979,-0.02674,-0.01634,-0.04684,-0.06452,-0.07607,-0.05516,-0.2074,NA,NA
22,-0.007525,0.02211,-0.02324,0.001286,0.003893,0.004937,0.00759,0.006082,-0.01217,0.08182,NA
