,1,7,8,9,10,11,19
1,NA,0.001063243,0.01199538,0.009446719,0.009805028,0.048138098,1.59E-05
7,0.001063243,NA,0.03464173,0.022422926,0.017374524,0.012915933,2.34E-02
8,0.01199538,0.03464173,NA,0.105033411,0.127172003,0.040263395,3.88E-02
9,0.009446719,0.022422926,0.105033411,NA,0.077707463,0.019473662,0.009614308
10,0.009805028,0.017374524,0.127172003,0.077707463,NA,0.059592336,0.000344355
11,0.048138098,0.012915933,0.040263395,0.019473662,0.059592336,NA,0.003505581
19,1.59E-05,2.34E-02,3.88E-02,0.009614308,0.000344355,0.003505581,NA
