"","x"
"1",NA
"2",0.00106324304182262
"3",0.0119953780479783
"4",0.00944671874241877
"5",0.0098050275634413
"6",0.0481380976875088
"7",1.59014365755536e-05
"8",0.00106324304182262
"9",NA
"10",0.0346417280448314
"11",0.022422926142913
"12",0.0173745238982608
"13",0.0129159332343751
"14",0.0234273289918468
"15",0.0119953780479783
"16",0.0346417280448314
"17",NA
"18",0.105033410767461
"19",0.12717200305519
"20",0.0402633945786975
"21",0.0387729824281559
"22",0.00944671874241877
"23",0.022422926142913
"24",0.105033410767461
"25",NA
"26",0.077707463303055
"27",0.0194736617520355
"28",0.00961430793853021
"29",0.0098050275634413
"30",0.0173745238982608
"31",0.12717200305519
"32",0.077707463303055
"33",NA
"34",0.0595923358411846
"35",0.000344354702144546
"36",0.0481380976875088
"37",0.0129159332343751
"38",0.0402633945786975
"39",0.0194736617520355
"40",0.0595923358411846
"41",NA
"42",0.00350558062151757
"43",1.59014365755536e-05
"44",0.0234273289918468
"45",0.0387729824281559
"46",0.00961430793853021
"47",0.000344354702144546
"48",0.00350558062151757
"49",NA
